Function ID;Rows;Cols;Number of threads;Duration (seconds);Performance (MFLOPS);Theoretical performance (MFLOPS);L1 DCM;L1 DCM;
3;600;600;1;1.13776;569.538;321000511;38129097;
3;2600;2600;1;116.849;451.25;19804107695;2302390413;
3;600;600;2;0.70806;915.177;137654165;13542576;
3;2600;2600;2;56.4391;934.247;9901940742;1123046408;
3;600;600;3;0.48237;1343.37;91877377;9030077;
3;2600;2600;3;40.0721;1315.83;6603038542;767872687;
3;600;600;4;0.366359;1768.76;68860209;6775274;
3;2600;2600;4;35.1732;1499.1;4950937637;875823234;
4;600;600;1;1.33322;486.041;27162863;639565;
4;2600;2600;1;107.374;491.07;4395601569;57479819;
4;600;600;2;0.662535;978.062;13580148;318751;
4;2600;2600;2;54.9266;959.972;2193313795;30037282;
4;600;600;3;0.62334;1039.56;9054981;213696;
4;2600;2600;3;38.6837;1363.05;1460983125;21055209;
4;600;600;4;0.598209;1083.23;6872423;178812;
4;2600;2600;4;30.5207;1727.62;1093491106;16765978;
